,evt_block_time,tokens_minted
192,2022-01-11,556
193,2022-01-12,95
194,2022-01-13,60
195,2022-01-14,54
196,2022-01-15,59
197,2022-01-16,94
198,2022-01-17,61
199,2022-01-18,64
200,2022-01-19,50
201,2022-01-20,87
202,2022-01-21,112
203,2022-01-22,20
204,2022-01-23,11
205,2022-01-24,1057
206,2022-01-25,60
207,2022-01-26,64
208,2022-01-27,58
209,2022-01-28,383
210,2022-01-29,38
211,2022-01-30,36
212,2022-01-31,1025
213,2022-02-01,75
214,2022-02-02,9
215,2022-02-03,1952
216,2022-02-04,58
217,2022-02-05,29
218,2022-02-06,23
219,2022-02-07,1035
220,2022-02-08,158
221,2022-02-09,22
222,2022-02-10,283
223,2022-02-11,323
224,2022-02-12,85
225,2022-02-13,29
226,2022-02-14,1043
227,2022-02-15,26
228,2022-02-16,48
229,2022-02-17,29
230,2022-02-18,13
231,2022-02-19,11
232,2022-02-20,9
233,2022-02-21,14
234,2022-02-22,671
235,2022-02-23,20
236,2022-02-24,235
237,2022-02-25,221
238,2022-02-26,33
239,2022-02-27,52
240,2022-02-28,19
241,2022-03-01,866
242,2022-03-02,38
243,2022-03-03,193
244,2022-03-04,324
245,2022-03-05,100
246,2022-03-06,34
247,2022-03-07,33
248,2022-03-08,53
249,2022-03-09,56
250,2022-03-10,65
251,2022-03-11,449
252,2022-03-12,259
253,2022-03-13,30
254,2022-03-14,44
255,2022-03-15,277
256,2022-03-16,25
257,2022-03-17,108
258,2022-03-18,378
259,2022-03-19,269
260,2022-03-20,90
261,2022-03-21,1065
262,2022-03-22,1242
263,2022-03-23,63
264,2022-03-24,122
265,2022-03-25,517
266,2022-03-26,29
267,2022-03-27,65
268,2022-03-28,47
269,2022-03-29,1063
270,2022-03-30,27
271,2022-03-31,15
272,2022-04-01,5
273,2022-04-02,17
274,2022-04-03,14
275,2020-12-22,108
276,2020-12-23,10
277,2020-12-24,106
278,2020-12-25,33
279,2020-12-26,206
280,2020-12-27,452
281,2020-12-28,21
282,2020-12-29,27
283,2020-12-30,4
284,2020-12-31,35
285,2021-01-01,1093
286,2021-01-02,172
287,2021-01-03,32
288,2021-01-05,8
289,2021-01-06,8
290,2021-01-08,545
291,2021-01-09,56
292,2021-01-10,112
293,2021-01-11,37
294,2021-01-12,113
295,2021-01-13,303
296,2021-01-14,262
297,2021-01-15,750
298,2021-01-16,2363
299,2021-01-17,11
300,2022-04-04,25
301,2022-04-05,598
302,2022-04-06,894
303,2022-04-07,202
304,2022-04-08,135
305,2022-04-09,55
306,2022-04-10,47
307,2022-04-11,17
308,2022-04-12,179
309,2022-04-13,24
310,2022-04-14,621
311,2022-04-15,1511
312,2022-04-16,40
313,2022-04-17,21
314,2022-04-18,435
315,2022-04-19,148
316,2022-04-20,13
317,2022-04-21,55
318,2022-04-22,495
319,2022-04-23,25
320,2022-04-24,14
321,2022-04-25,30
322,2022-04-26,32
323,2022-04-27,56
324,2022-04-28,14
325,2022-04-29,819
326,2022-04-30,8
327,2022-05-01,13
328,2022-05-02,33
329,2022-05-03,54
330,2022-05-04,139
331,2022-05-05,30
332,2022-05-06,65
333,2022-05-07,401
334,2022-05-08,279
335,2022-05-09,381
336,2022-05-10,99
337,2022-05-11,14
338,2022-05-12,33
339,2022-05-13,82
340,2022-05-14,38
341,2022-05-15,93
342,2022-05-16,202
343,2022-05-17,59
344,2022-05-18,122
345,2022-05-19,282
346,2022-05-20,475
347,2022-05-21,50
348,2022-05-22,23
349,2022-05-23,429
350,2022-05-24,28
351,2022-05-25,614
352,2022-05-26,41
353,2022-05-27,26
354,2022-05-28,273
355,2022-05-29,40
356,2022-05-30,17
357,2022-05-31,30
358,2022-06-01,248
359,2022-06-02,45
360,2022-06-03,364
361,2022-06-04,18
362,2022-06-05,25
363,2022-06-06,227
364,2022-06-07,13
365,2022-06-08,509
366,2022-06-09,11
367,2022-06-10,78
368,2022-06-11,14
369,2022-06-12,21
370,2022-06-13,636
371,2022-06-14,17
372,2022-06-15,38
373,2022-06-16,45
374,2022-06-17,128
375,2022-06-18,42
376,2022-06-19,58
377,2022-06-20,173
378,2022-06-21,72
379,2022-06-22,77
380,2022-06-23,102
381,2022-06-24,67
382,2022-06-25,75
383,2022-06-26,66
384,2022-06-27,420
385,2022-06-28,106
386,2022-06-29,520
387,2022-06-30,247
388,2022-07-01,446
389,2022-07-02,109
390,2022-07-03,205
391,2022-07-04,230
392,2022-07-05,114
393,2022-07-06,224
394,2022-07-07,437
395,2022-07-08,574
396,2022-07-09,452
397,2022-07-10,78
398,2022-07-11,825
399,2022-07-12,85
400,2022-07-13,1553
401,2022-07-14,92
402,2022-07-15,167
403,2022-07-16,86
404,2022-07-17,71
405,2022-07-18,405
406,2021-01-18,14
407,2021-01-19,9
408,2021-01-20,224
409,2021-01-21,420
410,2021-01-22,36
411,2021-01-23,49
412,2021-01-24,12
413,2021-01-25,17
414,2021-01-26,421
415,2021-01-27,5
416,2021-01-28,4
417,2021-01-29,3
418,2021-01-30,4
419,2021-01-31,1003
420,2021-02-01,3
421,2021-02-02,5
422,2021-02-03,6
423,2021-02-04,1
424,2021-02-05,4
425,2021-02-07,457
426,2021-02-08,301
427,2021-02-09,51
428,2021-02-10,20
429,2021-02-11,57
430,2021-02-12,27
431,2021-02-13,461
432,2021-02-14,46
433,2021-02-15,338
434,2021-02-16,186
435,2021-02-17,238
436,2021-02-18,79
437,2021-02-19,1148
438,2021-02-20,203
439,2021-02-21,1130
440,2021-02-22,177
441,2021-02-23,452
442,2021-02-24,256
443,2021-02-26,14
444,2021-02-27,600
445,2021-02-28,513
446,2021-03-01,369
447,2021-03-02,999
448,2021-03-05,723
449,2021-03-10,1
450,2021-03-11,1
451,2021-03-15,1
452,2021-03-17,1499
453,2021-03-19,1
454,2021-03-20,1006
455,2021-03-21,344
456,2021-03-22,495
457,2021-03-23,150
458,2021-03-24,46
459,2021-03-25,47
460,2021-03-26,65
461,2021-03-27,47
462,2021-03-28,800
463,2021-03-29,452
464,2021-03-30,98
465,2021-03-31,226
466,2021-04-01,94
467,2021-04-02,150
468,2021-04-03,110
469,2021-04-04,100
470,2021-04-05,511
471,2021-04-06,228
472,2021-04-07,526
473,2021-04-08,135
474,2021-04-09,110
475,2021-04-10,598
476,2021-04-11,236
477,2021-04-12,125
478,2021-04-13,229
479,2021-04-14,423
480,2021-04-15,46
481,2021-04-16,606
482,2021-04-17,36
483,2021-04-18,33
