"DateTime";"Primary sales USD";"Secondary sales USD"
"2021-05-17 00:00:00";18616,98;111019
"2021-05-18 00:00:00";17818,46;168068,05
"2021-05-19 00:00:00";10180;100881,45
"2021-05-20 00:00:00";9235,84;75492,53
"2021-05-21 00:00:00";83462,46;132106,61
"2021-05-22 00:00:00";59835,09;28157,79
"2021-05-23 00:00:00";11686,6;51424,79
"2021-05-24 00:00:00";22888,66;39026,61
"2021-05-25 00:00:00";22724,23;110088,19
"2021-05-26 00:00:00";7627,92;25301,06
"2021-05-27 00:00:00";7832,32;20860,07
"2021-05-28 00:00:00";136423,54;31121,48
"2021-05-29 00:00:00";121155,43;32537,32
"2021-05-30 00:00:00";2044,8;32356,67
"2021-05-31 00:00:00";71181,06;43651,45
"2021-06-01 00:00:00";123808,13;44776,43
"2021-06-02 00:00:00";4595,66;37568,68
"2021-06-03 00:00:00";4404,43;90648,32
"2021-06-04 00:00:00";5691,45;23073,55
"2021-06-05 00:00:00";3173,57;9261,21
"2021-06-06 00:00:00";7428,26;15109,65
"2021-06-07 00:00:00";2226,34;39596,96
"2021-06-08 00:00:00";3617,27;71133,18
"2021-06-09 00:00:00";3005,26;105310,15
"2021-06-10 00:00:00";3342,12;105313,74
"2021-06-11 00:00:00";418425,11;460209,46
"2021-06-12 00:00:00";7327,93;437532,38
"2021-06-13 00:00:00";75211,74;234493,14
"2021-06-14 00:00:00";6774,95;189688,38
"2021-06-15 00:00:00";19926,62;605529,87
"2021-06-16 00:00:00";35031,22;285858,56
"2021-06-17 00:00:00";20721,34;446746,06
"2021-06-18 00:00:00";250216,02;431291,69
"2021-06-19 00:00:00";25272,83;210558,44
"2021-06-20 00:00:00";61846,07;397484,67
"2021-06-21 00:00:00";8204,12;667870,85
"2021-06-22 00:00:00";7090,62;557711,72
"2021-06-23 00:00:00";27648,48;478055,48
"2021-06-24 00:00:00";359132,23;533274,88
"2021-06-25 00:00:00";258955,27;1184545,12
"2021-06-26 00:00:00";116543,53;538454,74
"2021-06-27 00:00:00";81934,76;468786,87
"2021-06-28 00:00:00";147771,7;844428,54
"2021-06-29 00:00:00";47217,85;739653,13
"2021-06-30 00:00:00";128643,16;719911,1
"2021-07-01 00:00:00";23305,97;598420
"2021-07-02 00:00:00";195876,9;775320,16
"2021-07-03 00:00:00";166148,92;618580,1
"2021-07-04 00:00:00";31825,66;425258,15
"2021-07-05 00:00:00";217179,31;422449,56
"2021-07-06 00:00:00";2673,89;405238,39
"2021-07-07 00:00:00";243937,58;282211,38
"2021-07-08 00:00:00";5411,56;441761,59
"2021-07-09 00:00:00";85949,22;359036,59
"2021-07-10 00:00:00";116312,96;458163,12
"2021-07-11 00:00:00";163616,68;297946,12
"2021-07-12 00:00:00";74208,2;644578,45
"2021-07-13 00:00:00";27706,96;767715,45
"2021-07-14 00:00:00";113539,45;936351,47
"2021-07-15 00:00:00";86423,22;2712348,41
"2021-07-16 00:00:00";61946,42;3749180,32
"2021-07-17 00:00:00";322866,34;2466719,43
"2021-07-18 00:00:00";43296,22;1217445,62
"2021-07-19 00:00:00";130284,14;1386502,14
"2021-07-20 00:00:00";26681,49;721190,48
"2021-07-21 00:00:00";138914,05;1120775,57
"2021-07-22 00:00:00";58628,07;1040010,38
"2021-07-23 00:00:00";273128,22;2062570,06
"2021-07-24 00:00:00";40098,16;1432807,85
"2021-07-25 00:00:00";111242,36;3378947,26
"2021-07-26 00:00:00";434746,58;6535591,94
"2021-07-27 00:00:00";435931,08;4221199,28
"2021-07-28 00:00:00";298206,72;3337393,31
"2021-07-29 00:00:00";29603,5;3199684,63
"2021-07-30 00:00:00";1187346,19;2810596,26
"2021-07-31 00:00:00";1201522,81;13393074,47
"2021-08-01 00:00:00";3554231,64;14695768,82
"2021-08-02 00:00:00";1764714,72;6483679,61
"2021-08-03 00:00:00";1178908,12;3333403,74
"2021-08-04 00:00:00";1581929,53;4912427,07
"2021-08-05 00:00:00";127989,91;3192483,43
"2021-08-06 00:00:00";2162195,47;6379107,38
"2021-08-07 00:00:00";5045501,16;4762386,06
"2021-08-08 00:00:00";72172,21;2833716,66
"2021-08-09 00:00:00";1195368,22;9362459,7
"2021-08-10 00:00:00";157483,15;10379694,42
"2021-08-11 00:00:00";1706499,63;6579186,48
"2021-08-12 00:00:00";153379,28;7493611,02
"2021-08-13 00:00:00";21270,21;3643216,94
